fecha|modeloAvion|lugarAccidente|fallecidosTotales
Nov 23, 2011|Rockwell Grand Commander 690|Mesa-Falcon Field, Arizona|6
Nov 23, 2011|Cessna 208B Grand Caravan|Bilogai-Sugapa, Special Region of Papua|1
Nov 12, 2011|Cessna 401|Gladewater, Texas|0
Nov 10, 2011|Piper PA-31-310 Navajo|Ecuvillens, Fribourg|1
Nov 9, 2011|Socata TBM-700|Lyon-Bron, Rhône|1
Nov 7, 2011|Cessna 207 Skywagon/Stationair|Kwigillingok, Alaska|0
Oct 31, 2011|Gulfstream G150|Key West-Intl, Florida|0
Oct 27, 2011|Beechcraft 100 King Air|Vancouver, British Columbia|2
Oct 13, 2011|De Havilland DHC-8-100 (Dash-8)|Madang, Madang|28
Oct 12, 2011|Socata TBM-700|Hollywood, Florida|0
Oct 9, 2011|PZL-Mielec AN-2|Zasovskaya, Krasnodar Krai|0
Oct 7, 2011|Cessna 550 Citation II|Manhuaçu, Minas Gerais|0
Oct 5, 2011|Cessna 207 Skywagon/Stationair|Matinicus Island, Maine|1
Oct 4, 2011|Cessna 208B Grand Caravan|Lutsel K'e, Northwest Territories|2
Sep 29, 2011|Casa 212 Aviocar|Bohorok, North Sumatra|18
Sep 28, 2011|Mitsubishi MU-2 Marquise|Cobb County-McCollum, Georgia|0
Sep 26, 2011|Douglas DC-9|Puerto Ordaz, Bolívar|0
Sep 25, 2011|Beechcraft 1900D|Kathmandu-Tribhuvan, Bagmati|19
Sep 23, 2011|De Havilland DHC-3 Otter|Kodiak, Alaska|1
Sep 22, 2011|De Havilland DHC-6 Twin Otter|Yellowknife, Northwest Territories|2
Sep 22, 2011|Pilatus PC-6 (Porter & Turbo Porter)|Yahatma, Special Region of Papua|3
Sep 17, 2011|Beechcraft 90 King Air|Hillsboro, Texas|0
Sep 16, 2011|Embraer ERJ-190|Quito-Mariscal Sucre (City), Pichincha|0
Sep 13, 2011|Piper PA-60 Aerostar (Ted Smith 600)|Hildesheim, Lower Saxony|1
Sep 7, 2011|Yakovlev Yak-42|Yaroslavl, Yaroslavl oblast|44
Sep 5, 2011|Socata TBM-850|Racine, Wisconsin|1
Sep 3, 2011|PZL-Mielec AN-2|Sasha, Vinnytsia Oblast|1
Sep 2, 2011|Cessna 207 Skywagon/Stationair|Nightmute, Alaska|0
Sep 2, 2011|Cessna 208B Grand Caravan|Nightmute, Alaska|1
Aug 22, 2011|Antonov AN-2|Choigan-Khole Lake, Republic of Tuva|1
Aug 20, 2011|Boeing 737-200|Resolute Bay, Nunavut|12
Aug 14, 2011|Piaggio P.166 Albatross|Tzaneen, Limpopo|7
Aug 14, 2011|Piaggio P.166 Albatross|Tzaneen, Limpopo|6
Aug 13, 2011|Cessna 207 Skywagon/Stationair|McGrath, Alaska|2
Aug 8, 2011|Antonov AN-24|Blagoveshchensk, Amur oblast|0
Jul 30, 2011|Boeing 737-800|Georgetown-Cheddi Jagan (ex Timehri), Demerara-Mahaica|0
Jul 26, 2011|Lockheed C-130 Hercules|Guelmim, Guelmim-Es Semara|80
Jul 17, 2011|ATR72-200|Shannon, Munster|0
Jul 14, 2011|ATR72-200|Warsaw-Okęcie-Frederic Chopin, Masovian Voivodeship (Mazowieckie)|0
Jul 14, 2011|Cessna 560XLS Citation Excel|Port Harcourt, Rivers|0
Jul 11, 2011|De Havilland DHC-6 Twin Otter|Maadhiggaru Falhu, North Central Province|0
Jul 9, 2011|Cessna 421C Golden Eagle III|Demopolis, Alabama|7
Jul 8, 2011|Boeing 727-100|Kisangani, Orientale|77
Jul 6, 2011|Ilyushin II-76|Bagram AFB, Parwan|9
Jul 4, 2011|Cessna 208B Grand Caravan|Pukatawagan, Manitoba|1
Jun 30, 2011|De Havilland DHC-2 Beaver|Buss Lakes, Saskatchewan|5
Jun 20, 2011|Tupolev TU-134|Petrozavodsk, Republic of Karelia|47
Jun 17, 2011|Dassault Falcon 10|Toronto-Buttonville, Ontario|0
Jun 13, 2011|Boeing B-17 Flying Fortress|Aurora-Sugar Grove, Illinois|0
Jun 12, 2011|Douglas DC-6|Cold Bay, Alaska|0
Jun 1, 2011|Eclipse EA500|Nome, Alaska|0
May 25, 2011|Embraer EMB-500 Phenom 100|Sedona, Arizona|0
May 24, 2011|Beechcraft 90 King Air|Old Kaduna, Kaduna|2
May 23, 2011|Cessna 207 Skywagon/Stationair|Monument Valley, Utah|0
May 23, 2011|Cessna 208B Grand Caravan|Barra do Vento, Roraima|0
May 19, 2011|Socata TBM-850|Salem-Airpark, Ohio|0
May 16, 2011|Beechcraft 200 Super King Air|Atqasuk, Alaska|0
May 7, 2011|Xian MA60|Kaimana, Special Region of West Papua|25
May 2, 2011|Beechcraft E18|Miami-Opa Locka, Florida|1
Apr 11, 2011|Piper PA-31-350 Navajo Chieftain|Richmond-Byrd Field, Virginia|0
Apr 10, 2011|Cessna 402|Biddeford, Maine|1
Apr 8, 2011|Rockwell Shrike Commander 500|Eden Prairie, Minnesota|0
Mar 29, 2011|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Monroe-Custer, Michigan|3
Mar 28, 2011|Cessna 425 Conquest|Canadian, Texas|0
Mar 16, 2011|Beechcraft 200 Super King Air|Long Beach, California|5
Mar 8, 2011|De Havilland DHC-6 Twin Otter|Clayton, Georgia|2
Mar 5, 2011|Antonov AN-148|Garbuzovo, Belgorod oblast|6
Mar 4, 2011|De Havilland DHC-8-100 (Dash-8)|Nuuk (Godthåb), Kommuneqarfik Sermersooq|0
Feb 27, 2011|Grumman G-21A Goose|Al Ain, Abu Dhabi (إمارة أبو ظبي‎)|4
Feb 23, 2011|Cessna 421C Golden Eagle III|Connersville, Indiana|1
Feb 22, 2011|Cessna 340|Lobatera, Táchira|6
Feb 14, 2011|Let L-410|Tegucigalpa, Francisco Morazán|14
Feb 12, 2011|Casa 212 Aviocar|Tanjung Pinang, Riau Islands|5
Feb 10, 2011|Swearingen SA227 Metro III|Cork, Munster|6
Feb 8, 2011|Pilatus PC-12|Plettenberg Bay, Western Cape|9
Feb 4, 2011|Hawker 850XP|Sulaymānīyah, As-Sulaymāniyyah (السليمانية)|7
Jan 14, 2011|Beechcraft 200 Super King Air|Goiânia, Goiás|6
Jan 10, 2011|Boeing 737-200|Hoedspruit AFB, Mpumalanga|0
Jan 9, 2011|Boeing 727-200|Orūmīyeh, West Azerbaijan|78
Jan 7, 2011|Partenavia P.68|Macapo, Cojedes|5
Jan 6, 2011|Learjet 35|Springfield-Abraham Lincoln, Illinois|0
Jan 3, 2011|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Kumamoto, Kyūshū|2
Jan 3, 2011|Beechcraft E18|New Stuyahok, Alaska|0
Dec 20, 2010|Rockwell Grand Commander 680|Perris, California|1
Dec 19, 2010|Raytheon 390 Premier I|Samedan, Graubünden|2
Dec 15, 2010|Beechcraft 60 Duke|Edwards, Colorado|2
Dec 15, 2010|De Havilland DHC-6 Twin Otter|Okhaldhunga, Sagarmatha|22
Dec 8, 2010|Britten-Norman Islander|Ouarzazate, Souss-Massa-Drâa|5
Dec 4, 2010|Tupolev TU-154|Moscow-Domodedovo, Moscow oblast|2
Dec 3, 2010|Beechcraft 1900C|Maputo, Maputo City District|0
Nov 28, 2010|GippsAero GA8 Airvan|Swindon, Wiltshire|0
Nov 23, 2010|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Destin-Fort Walton Beach, Florida|3
Nov 19, 2010|Cessna 501 Citation I|Birmingham, West Midlands|0
Nov 17, 2010|Learjet 25|Portland-Hillsboro, Oregon|0
Nov 11, 2010|Antonov AN-24|Zalingei, Central Darfur|2
Nov 5, 2010|Swearingen SA227 Metro III|Huánuco, Huánuco|0
Nov 4, 2010|Beechcraft 90 King Air|Saint-Antonin-sur-Bayon, Bouches-du-Rhône|2
Nov 2, 2010|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Gubin, Lubusz Voivodeship (Lubuskie)|2
Oct 26, 2010|Piper PA-31-310 Navajo|Wentworth, South Yorkshire|0
Oct 25, 2010|Beechcraft 100 King Air|Kirby Lake, Alberta|1
Oct 15, 2010|GippsAero GA8 Airvan|Lady Barron, Tasmania|0
Oct 12, 2010|Lockheed C-130 Hercules|Kabul, Kabul|8
Oct 1, 2010|Cessna 550 Citation II|Manteo, North Carolina|0
Sep 24, 2010|Airbus A319|Palermo-Punta Raisi, Sicily|0
Sep 23, 2010|Rockwell Aero Commander 500|Santo Domingo-Las Américas, Santo Domingo|0
Sep 4, 2010|Fletcher FU-24|Fox Glacier, West Coast Regional Council|9
Sep 3, 2010|Cessna 207 Skywagon/Stationair|Tuluksak, Alaska|0
Aug 31, 2010|Cessna 550 Citation II|Bwagaoia (Misima Island), Milne Bay|4
Aug 25, 2010|Antonov AN-26|Tallinn-Lennart Meri-Ülemiste, Harjumaa|0
Aug 25, 2010|Embraer ERJ-145|Vitória da Conquista, Bahia|0
Aug 25, 2010|Let L-410|Bandundu, Bandundu|20
Aug 24, 2010|Embraer ERJ-190|Yichun, Heilongjiang|44
Aug 16, 2010|Boeing 737-700|San Andrés-Gustavo Rojas Pinilla, San Andrés, Providencia & Santa Catalina|2
Aug 13, 2010|Piper PA-42 Cheyenne|Mercedes, Buenos Aires province|0
Aug 11, 2010|Rockwell Aero Commander 500|Mt Steens, Oregon|2
Aug 9, 2010|De Havilland DHC-3 Otter|Aleknagik, Alaska|5
Aug 5, 2010|Cessna 414 Chancellor|Sydney-J. A. Douglas McCurdy, Nova Scotia|2
Aug 3, 2010|Antonov AN-24|Igarka, Krasnoyarsk Krai|12
Aug 1, 2010|Fairchild C-123 Provider|Denali National Park, Alaska|3
Jul 31, 2010|Convair CV-580|Lytton, British Columbia|2
Jul 28, 2010|McDonnell Douglas C-17 Globemaster III|Elmendorf-Richardson AFB (JBER), Alaska|4
Jul 28, 2010|ATR72-200|Manila-Ninoy Aquino, Metro Manila|0
Jul 28, 2010|Airbus A321|Islamabad, Islamabad Capital Territory (وفاقی دارالحکومت)|152
Jul 28, 2010|Boeing 737-700|Conakry-Gbessia, Conakry Region|0
Jul 27, 2010|Raytheon 390 Premier I|Oshkosh, Wisconsin|0
Jul 27, 2010|McDonnell Douglas MD-11|Riyadh-King Khaled, Manţiqat ar Riyāḍ (منطقة الرياض)|0
Jul 23, 2010|De Havilland DHC-2 Beaver|Ketchikan, Alaska|1
Jul 22, 2010|Piper PA-61 Aerostar (Ted Smith 601)|Cleburne, Texas|0
Jul 19, 2010|Comp Air CA-8|Mount Pleasant, South Carolina|1
Jul 18, 2010|Rockwell Shrike Commander 500|Rankin Inlet, Nunavut|0
Jul 16, 2010|De Havilland DHC-2 Beaver|Chute des Passes, Quebec|4
Jul 15, 2010|Cessna 550 Citation Bravo|Brač, Dalmatia|0
Jul 6, 2010|GippsAero GA8 Airvan|Orange, New South Wales|0
Jul 4, 2010|Cessna 421B Golden Eagle II|Alpine-Casparis, Texas|5
Jun 27, 2010|De Havilland DHC-2 Beaver|Kukaklek Lake, Alaska|0
Jun 24, 2010|PZL-Mielec AN-2|Sarybulak, North Kazakhstan|2
Jun 23, 2010|Piper PA-31-350 Navajo Chieftain|Puerto Barrios, Izabal|2
Jun 23, 2010|Beechcraft 100 King Air|Québec-Jean Lesage (Ancienne Lorette), Quebec|7
Jun 15, 2010|Piper PA-31 Cheyenne|Bankstown, New South Wales|2
Jun 13, 2010|Swearingen SA226 Metro II|Lanseria, Gauteng|0
Jun 12, 2010|PZL-Mielec AN-28|Mt Izcaragua, Miranda|3
Jun 10, 2010|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Ontario, California|0
Jun 7, 2010|Beechcraft 60 Duke|Edenton, North Carolina|1
Jun 4, 2010|Lockheed C-130 Hercules|Sharana AFB, Parwan|0
May 26, 2010|Piper PA-31-350 Navajo Chieftain|Cartwright, Newfoundland & Labrador|2
May 22, 2010|Boeing 737-800|Mangalore-Bajpe, Karnataka|158
May 19, 2010|Embraer EMB-110 Bandeirante|Cascavel, Paraná|0
May 17, 2010|Antonov AN-24|Salang Pass, Parwan|44
May 16, 2010|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Clearwater Air Park, Florida|0
May 12, 2010|Airbus A330|Tripoli, Tripoli (طرابلس)|103
May 6, 2010|Lockheed C-130 Hercules|Brize Norton AFB, Oxfordshire|0
May 5, 2010|Embraer ERJ-145|Mitú-Fabio Alberto León Bentley, Vaupés|0
May 2, 2010|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|New Albany, Indiana|2
Apr 27, 2010|Beechcraft 200 Super King Air|Arlit, Agadez|0
Apr 13, 2010|Airbus A300|Monterrey-General Mariano Escobedo, Nuevo León|6
Apr 13, 2010|Boeing 737-300|Manokwari, Special Region of West Papua|0
Apr 10, 2010|Tupolev TU-154|Smolensk, Smolensk oblast|96
Mar 22, 2010|Embraer EMB-120 Brasília|Darwin, Northern Territory|2
Mar 22, 2010|Tupolev TU-204|Moscow-Domodedovo, Moscow oblast|0
Mar 15, 2010|Britten-Norman Islander|Kodiak, Alaska|0
Mar 4, 2010|Cessna 303 Crusader|Louisa, Virginia|1
Mar 4, 2010|Fokker F27 Friendship|Bosaso, Bari (باري‎)|0
Mar 1, 2010|Socata TBM-700|Gaithersburg, Maryland|0
Mar 1, 2010|Piper PA-31-310 Navajo|Concepción, Región del Biobío|6
Feb 21, 2010|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Saint Louis-Downtown, Illinois|2
Feb 14, 2010|Cessna 550 Citation Bravo|Reinhardtsdorf-Schöna, Saxony|2
Feb 12, 2010|Piper PA-31 Cheyenne|Forest City, Iowa|1
Feb 2, 2010|Cessna 425 Conquest|Munich-Franz Josef Strauß, Bavaria|0
Jan 25, 2010|Boeing 737-800|Beirut, Beirut Governorate|90
Jan 24, 2010|Tupolev TU-154|Mashhad, Razavi Khorasan|0
Jan 23, 2010|Piper PA-61 Aerostar (Ted Smith 601)|Aurora-Sugar Grove, Illinois|2
Jan 19, 2010|Beechcraft 200 Super King Air|Sioux City-Gateway, Iowa|0
Jan 18, 2010|Cessna 340|Lytle Creek, California|2
Jan 18, 2010|Mitsubishi MU-2 Marquise|Elyria-Lorain County, Ohio|4
Jan 15, 2010|Beechcraft 90 King Air|Les Eplatures, Neuchâtel|0
Jan 15, 2010|Piper PA-31-310 Navajo|Oxford-Kidlington, Oxfordshire|2
Jan 8, 2010|Dassault Falcon 20|Vail, Colorado|0
Jan 7, 2010|Saab 340|Nassau-Lynden Pindling, New Providence|0
Jan 4, 2010|Antonov AN-12|Heglig, South Kordofan (جنوب كردفان)|0
Dec 22, 2009|Boeing 737-800|Kingston-Norman Manley (Palisadoes), Kingston City District|0
Dec 13, 2009|Socata TBM-850|Truckee, California|0
Dec 13, 2009|Technoavia SM-92 Turbo Finist|Kalachevo, Chelyabinsk oblast|8
Dec 9, 2009|Beechcraft 100 King Air|Chicoutimi, Quebec|2
Dec 7, 2009|Beechcraft 90 King Air|Egelsbach, Hesse|3
Dec 7, 2009|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Mendoza, Texas|2
Dec 5, 2009|Cessna 303 Crusader|Punta Ocote, Yoro|1
Nov 28, 2009|McDonnell Douglas MD-11|Shanghai-Pudong, Shanghai|3
Nov 19, 2009|De Havilland DHC-8-200 (Dash-8)|Tarakigné, Koulikoro|0
Nov 15, 2009|Cessna 208B Grand Caravan|Windhoek-Eros, Khomas Region|3
Nov 14, 2009|Travel Air 4000|Fort Myers-Page Field, Florida|0
Nov 12, 2009|Canadair RegionalJet CRJ-100|Kigali, Kigali City|1
Nov 10, 2009|ATR72-200|Mumbai-Chhatrapati Shivaji (Santa Cruz), Maharashtra|0
Nov 9, 2009|Beechcraft 200 Super King Air|Greenville-Spartanburg, South Carolina|0
Nov 9, 2009|Beechcraft 1900D|Nairobi-Wilson, Nairobi City District|2
Nov 2, 2009|Learjet C-21A|Talil AFB (Imam Ali), Dhī Qār (ذي قار)|0
Nov 2, 2009|PZL-Mielec AN-28|Mulia, Special Region of Papua|4
Nov 1, 2009|Ilyushin II-76|Mirny, Republic of Yakutia (Sakha)|11
Oct 29, 2009|Lockheed C-130 Hercules|San Clemente Island NAS, California|7
Oct 26, 2009|BAe 125|Minsk-2, Minsk voblast|5
Oct 17, 2009|Douglas DC-3|Manila-Ninoy Aquino, Metro Manila|4
Oct 16, 2009|Pilatus PC-12|Weert, Limburg|2
Oct 13, 2009|Beechcraft C-12 Huron|Nuristan, Nuristan|3
Oct 13, 2009|Boeing 707|Mombasa, Coast|0
Oct 12, 2009|Embraer EMB-500 Phenom 100|Angra dos Reis, Rio de Janeiro|0
Oct 9, 2009|PZL-Mielec AN-28|Las Minas, Santa Bárbara|0
Oct 6, 2009|PZL-Mielec AN-2|Umgalala, White Nile (النيل الأبيض)|1
Oct 6, 2009|Beechcraft 100 King Air|Aurora, Texas|0
Oct 3, 2009|Beechcraft E18|Jones Creek, Texas|0
Sep 16, 2009|Beechcraft 200 Super King Air|Hayward, California|0
Sep 15, 2009|Cessna 340|Quiripital, Miranda|3
Aug 31, 2009|Antonov AN-24|Zarafshon, Navoiy Province (Navoiy viloyati)|0
Aug 27, 2009|Ilyushin II-76|Luanda-4 de Fevereiro, Luanda|0
Aug 16, 2009|Britten-Norman Islander|Caracas-Maiquetía-Simón Bolívar, Vargas|0
Aug 14, 2009|Beechcraft 99 Airliner|Évora, Alto Alentejo|2
Aug 13, 2009|Beechcraft 60 Duke|Minidoka, Idaho|0
Aug 11, 2009|De Havilland DHC-6 Twin Otter|Kokoda, Central|13
Aug 2, 2009|De Havilland DHC-6 Twin Otter|Oksibil, Special Region of Papua|15
Jul 25, 2009|Ilyushin II-62|Mashhad, Razavi Khorasan|16
Jun 30, 2009|Airbus A310|Moroni-Prince Saïd Ibrahim (ex Hahaya), All Comoros Islands|152
Jun 29, 2009|De Havilland DHC-6 Twin Otter|Wamena, Special Region of Papua|3
Jun 26, 2009|Let L-410|Capurganá, Chocó|0
Jun 25, 2009|Xian MA60|Caticlan (Malay), Aklan|0
Jun 23, 2009|Partenavia P.68|Sant Pere de Vilamajor, Catalonia|2
Jun 7, 2009|De Havilland DHC-2 Beaver|Anchorage-Lake Hood, Alaska|0
Jun 7, 2009|Britten-Norman Islander|Port Hope Simpson, Newfoundland & Labrador|1
Jun 6, 2009|Cessna 303 Crusader|Santa Rosa del Toachi, Santo Domingo de los Tsáchilas|1
Jun 6, 2009|Fokker F28 Fellowship|Sittwe, Rakhine State|0
Jun 2, 2009|De Havilland DHC-6 Twin Otter|Halaveli (Alifu Alifu Atoll), North Central Province|0
Jun 1, 2009|Airbus A330|Fernando de Noronha, Pernambuco|228
May 25, 2009|Rockwell Shrike Commander 500|Daytona Beach, Florida|1
May 22, 2009|Beechcraft 350 Super King Air|Porto Seguro-Terravista Golf Club, Bahia|14
May 20, 2009|Lockheed C-130 Hercules|Madiun, West Java|100
May 8, 2009|McDonnell Douglas MD-90|Riyadh-King Khaled, Manţiqat ar Riyāḍ (منطقة الرياض)|0
May 6, 2009|Douglas DC-10|Baltimore-Washington-Thurgood Marshall, Maryland|0
Apr 30, 2009|PZL-Mielec AN-2|Pokrovsk, Republic of Yakutia (Sakha)|3
Apr 25, 2009|Lockheed P-2 Neptune|Stockton, Utah|3
Apr 17, 2009|Cessna 208B Grand Caravan|Canaima, Bolívar|1
Apr 17, 2009|Pilatus PC-6 (Porter & Turbo Porter)|Mulia, Special Region of Papua|11
Apr 9, 2009|BAe 146|Wamena, Special Region of Papua|6
Apr 2, 2009|Britten-Norman Islander|Tuguegarao, Cagayan|7
Mar 31, 2009|PZL-Mielec AN-28|Gdynia-Babie Doły AFB, Pomeranian Voivodeship (Pomorskie)|4
Mar 23, 2009|McDonnell Douglas MD-11|Tokyo-Narita, Kantō|2
Mar 22, 2009|Pilatus PC-12|Butte, Montana|14
Mar 19, 2009|Beechcraft 200 Super King Air|Quito-Mariscal Sucre (Tababela), Pichincha|7
Mar 9, 2009|McDonnell Douglas MD-90|Jakarta-Soekarno-Hatta, Banten|0
Mar 1, 2009|Beechcraft 100 King Air|Valera, Trujillo|6
Feb 20, 2009|De Havilland DHC-2 Beaver|Kenai, Alaska|0
Feb 20, 2009|Antonov AN-12|Luxor, Luxor|5
Feb 19, 2009|Piper PA-31-350 Navajo Chieftain|Nome, Alaska|0
Feb 12, 2009|De Havilland DHC-8-400 (Dash-8)|Buffalo, New York|50
Feb 12, 2009|Dassault Falcon 10|Samedan, Graubünden|2
Feb 7, 2009|Cessna 650 Citation III|Trigoria, Lazio|2
Feb 4, 2009|De Havilland DHC-6 Twin Otter|La Ronge, Saskatchewan|0
Feb 4, 2009|Douglas DC-3|Mojave-Air and Space Port (Kern County), California|0
Jan 27, 2009|ATR42-300|Lubbock, Texas|0
Jan 21, 2009|Beechcraft 90 King Air|Mamuno, South-East District|0
Jan 19, 2009|Piper PA-42 Cheyenne|Königstein im Taunus, Hesse|1
Jan 16, 2009|Beechcraft 100 King Air|Island Lake, Manitoba|0
Jan 16, 2009|Gulfstream G200|Oradea, Bihor|0
Jan 15, 2009|Ilyushin II-76|Makhachkala, Republic of Dagestan|4
Jan 11, 2009|Pilatus PC-12|Hayden-Yampa Valley, Colorado|2
Jan 11, 2009|Xian MA60|Caticlan (Malay), Aklan|0
Jan 3, 2009|Learjet 45|Telluride, Colorado|0
Dec 23, 2008|Raytheon 390 Premier I|Lewistown, Missouri|0
Dec 22, 2008|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Hayden-Yampa Valley, Colorado|2
Dec 20, 2008|Boeing 737-500|Denver-Intl, Colorado|0
Dec 19, 2008|Britten-Norman Islander|Espiritu Santo, All Vanuatu|1
Dec 16, 2008|Cessna 402|Madison, Wisconsin|0
Dec 14, 2008|Beechcraft 90 King Air|Rocksprings, Texas|1
Dec 14, 2008|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Bad Vöslau, Lower Austria|1
Dec 13, 2008|Dornier DO228|Cambridge Bay, Nunavut|0
Dec 9, 2008|Mitsubishi MU-2 Marquise|Millington-Memphis, Tennessee|0
Dec 7, 2008|Learjet 23|Atlangatepec, Tlaxcala|2
Dec 3, 2008|Rockwell Shrike Commander 500|Planeta Rica, Córdoba|2
Dec 3, 2008|Rockwell Grand Commander 690|El Yunque National Forest, All Puerto Rico|3
Dec 1, 2008|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|León-Fanor Urroz, León|0
Nov 27, 2008|Airbus A320|Saint-Cyprien, Pyrénées-Orientales|7
Nov 27, 2008|BAe Jetstream 31|Fort Smith, Northwest Territories|0
Nov 23, 2008|Beechcraft 200 Super King Air|Recife-Guararapes, Pernambuco|2
Nov 22, 2008|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Marshfield, Wisconsin|3
Nov 16, 2008|Grumman G-21A Goose|Thormanby Island, British Columbia|7
Nov 7, 2008|Piper PA-31-350 Navajo Chieftain|Bathurst, New South Wales|4
Nov 7, 2008|Partenavia P.68|Gainesville, Florida|3
Nov 6, 2008|Dornier DO328|Fakfak, Special Region of West Papua|0
Nov 4, 2008|Learjet 45|Mexico City, Federal District of Mexico City|16
Nov 1, 2008|Cessna 208B Grand Caravan|Nyala Lodge, Limpopo|0
Oct 29, 2008|Beechcraft 90 King Air|Ludhiana, Punjab|2
Oct 27, 2008|Boeing 747-200|Brussels, Flemish Brabant|0
Oct 17, 2008|Cessna 402|Monterrey, Nuevo León|3
Oct 8, 2008|De Havilland DHC-6 Twin Otter|Lukla-Tenzing-Hillary, Sagarmatha|18
Oct 5, 2008|Britten-Norman Islander|Barberton, Mpumalanga|9
Oct 1, 2008|Boeing 737-300|Kaliningrad, Kaliningrad oblast|0
Sep 29, 2008|Pilatus PC-12|Santa Fe, New Mexico|1
Sep 26, 2008|Cessna 402|Vineyard Haven, Massachusetts|1
Sep 22, 2008|Fokker F28 Fellowship|Quito-Mariscal Sucre (Tababela), Pichincha|0
Sep 21, 2008|PAC 750XL - Pacific Aerospace Corporation|Pont-en-Ogoz, Fribourg|2
Sep 21, 2008|Cessna 208A Caravan|Pedernales, Pedernales|4
Sep 18, 2008|Antonov AN-24|Tbilisi, Tbilisi City District|0
Sep 18, 2008|Piper PA-60 Aerostar (Ted Smith 600)|Kremmling-McElroy, Colorado|2
Sep 14, 2008|Cessna 421B Golden Eagle II|San Antonio del Bravo, Chihuahua|4
Sep 14, 2008|Boeing 737-500|Perm, Perm Krai|88
Sep 1, 2008|Beechcraft 1900C|Bukavu, Sud-Kivu|17
Sep 1, 2008|Convair CV-580|Columbus-Rickenbacker (Lockbourne AFB), Ohio|3
Aug 31, 2008|Cessna 340|Angel Fire-Colfax County, New Mexico|0
Aug 30, 2008|Boeing 737-200|Toacaso, Cotopaxi|3
Aug 20, 2008|McDonnell Douglas MD-82|Madrid-Barajas, Madrid|154
Aug 17, 2008|Cessna 402|Coventry, West Midlands|4
Aug 16, 2008|Piper PA-31-310 Navajo|Tukums, Semigallia (Zemgale)|1
Aug 13, 2008|Fokker F27 Friendship|K50 (Lambar 50), Shabeellaha Hoose (شبيلي السفلى)|3
Aug 9, 2008|Pilatus PC-6 (Porter & Turbo Porter)|Ndundu, Special Region of Papua|1
Aug 3, 2008|Cessna 550 Citation II|Reading, Pennsylvania|0
Aug 3, 2008|Grumman G-21A Goose|Port Hardy, British Columbia|5
Jul 31, 2008|BAe 125|Owatonna, Minnesota|8
Jul 30, 2008|Eclipse EA500|West Chester, Pennsylvania|0
Jul 16, 2008|Cessna 441 Conquest|Sunriver, Oregon|1
Jul 15, 2008|Socata TBM-700|Kennesaw, Georgia|1
Jul 15, 2008|Beechcraft Beechjet 400|São José dos Campos, São Paulo|0
Jul 14, 2008|Boeing 737-200|Port Harcourt, Rivers|0
Jul 14, 2008|De Havilland DHC-6 Twin Otter|North Ari Atoll, North Central Province|0
Jul 6, 2008|Douglas DC-9|Saltillo, Coahuila|1
Jul 2, 2008|Piper PA-31 Cheyenne|Charallave-Óscar Machado Zuloaga, Miranda|3
Jul 2, 2008|De Havilland DHC-6 Twin Otter|Cochamó, Región de Los Lagos|3
Jun 30, 2008|Ilyushin II-76|Khartoum, Khartoum (الخرطوم)|4
Jun 26, 2008|Casa 212 Aviocar|Mt Salak, West Java|18
Jun 24, 2008|Rockwell Shrike Commander 500|Tonganoxie, Kansas|2
Jun 21, 2008|PZL-Mielec AN-2|Krems, Lower Austria|0
Jun 20, 2008|Swearingen SA226T Merlin|Bergen, Hordaland|3
Jun 18, 2008|De Havilland DHC-6 Twin Otter|Hyannis-Barnstable, Massachusetts|1
Jun 10, 2008|Airbus A310|Khartoum, Khartoum (الخرطوم)|30
Jun 7, 2008|Cessna 208B Grand Caravan|La Junta, Región Aysén del General Carlos Ibáñez del Campo|1
Jun 7, 2008|PZL-Mielec AN-2|Novoternovskiy, Stavropol Krai|2
Jun 3, 2008|Socata TBM-850|Iowa City, Iowa|1
Jun 1, 2008|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Berdoues, Gers|0
May 30, 2008|Airbus A320|Tegucigalpa-Toncontin, Francisco Morazán|5
May 23, 2008|Beechcraft 1900C|Billings-Logan, Montana|1
Apr 26, 2008|Fletcher FU-24|Kaihoka, Tasman District Council|0
Apr 25, 2008|Piper PA-31 Cheyenne|Foremost, Alberta|0
Apr 23, 2008|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Parma, Emilia-Romagna|3
Apr 21, 2008|Embraer EMB-110 Bandeirante|Coari, Amazonas|0
Apr 11, 2008|Antonov AN-32|Chișinău, Chișinău City District|8
