Image|Date|Operator|A/C Type|Location|Fatalities|Registration|Unnamed: 7
|Aug 31, 2003|Hickory Travel|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Hilton Head, South Carolina|2|N70DL|+
|Aug 29, 2003|Harris Air Freight|De Havilland DHC-2 Beaver|Penticton, British Columbia|3|C-GHAF|+
|Aug 26, 2003|Svedijos Prekes|PZL-Mielec AN-2|Trollhättan, Västergötland|0|LY-KAE|+
|Aug 26, 2003||Beechcraft 1900D|Hyannis-Barnstable, Massachusetts|2|N240CJ|+
|Aug 21, 2003|Clearwater Aircraft|Piper PA-31-310 Navajo|Clearwater Air Park, Florida|2|N93DC|+
|Aug 19, 2003||Cessna 208B Grand Caravan|Fangak (Old Fangak), Jonglei (جونقلي)|0|5Y-TWI|+
|Aug 16, 2003||Beechcraft T-1 Jayhawk|Biloxi, Mississippi|0|91-0093|+
|Aug 16, 2003||Canadair CL-415|Esine, Lombardy|0|I-DPCN|+
|Aug 14, 2003|Air America Flight Services|Learjet 35|Cancún, Quintana Roo|0|N403FW|+
|Aug 13, 2003|Lexus Aviation|Let L-410|Rumbek, Lakes (البحيرات)|0|9XR-JT|+
|Aug 12, 2003||Beechcraft C-12 Huron|Pyongtaek-Desiderio AAF (Camp Humphreys), Gyeonggi (경기도)|2|84-0169|+
|Aug 8, 2003|WSP Leasing|Cessna 340|Bishop, California|1|N340DC|+
|Aug 4, 2003|Air East Management|Learjet 35|Groton, Connecticut|2|N135PT|+
|Aug 2, 2003||Douglas C-54 Skymaster|Ulu, Northwest Territories|0|C-GBSK|+
|Jul 23, 2003||Cessna 551 Citation II|Sorocaba, São Paulo|1|PT-LME|+
|Jul 19, 2003|Ryan Blake Air Charter|Swearingen SA226 Metro II|Mt Kenya, Central|14|ZS-OYI|+
|Jul 13, 2003|Gary Ostler|Cessna 401|Gustavus, Alaska|4|N6296Q|+
|Jul 13, 2003|Ruiban & Duran Compania Aérea|Let L-410|San Cristóbal-Paramillo, Táchira|4|YV-1060CP|+
|Jul 3, 2003|Bowl Aviation|Cessna 421C Golden Eagle III|Sitka, Alaska|5|N777DX|+
|Jun 26, 2003||Cessna 208B Grand Caravan|Rooisand, Khomas Region|4|V5-CAS|+
|Jun 26, 2003|Osprey Air Services|Cessna 414 Chancellor|Fort Myers, Florida|2|N749AA|+
|Jun 24, 2003||Tupolev TU-134|Nyagan, Khantia-Mansia okrug|0|RA-65929|+
|Jun 22, 2003||Canadair RegionalJet CRJ-100|Brest-Bretagne (Guipavas), Finistère|1|F-GRJS|+
|Jun 11, 2003|Astro Taxi Aéreo|Embraer EMB-820 Navajo/Carajá|Belo Horizonte-Pampulha-Carlos Drummond de Andrade, Minas Gerais|4|PT-EHH|+
|Jun 6, 2003|Air Adventures New Zealand|Piper PA-31-350 Navajo Chieftain|Christchurch, Canterbury Regional Council|8|ZK-NCA|+
|Jun 6, 2003|John F. Sumrall|De Havilland DHC-2 Beaver|Anchorage-Lake Hood, Alaska|0|N343WB|+
|Jun 5, 2003||De Havilland DHC-6 Twin Otter|Lake Wicksteed, Ontario|0|C-GOGC|+
|May 30, 2003||De Havilland DHC-2 Beaver|Sitka, Alaska|0|N60TF|+
|May 26, 2003||Yakovlev Yak-42|Trabzon, Black Sea Region (Karadeniz Bölgesi)|75|UR-42352|+
|May 25, 2003|Navajo Inc.|Piper PA-31-310 Navajo|Woodruff-Lakeland, Wisconsin|4|N36DR|+
|May 21, 2003||Learjet 36|Iwakuni AFB, Chūgoku|4|9202|+
|May 18, 2003|Ian Gordon Fletcher|Piper PA-31-310 Navajo|Barbados, All Barbados|2|G-ILEA|+
|May 15, 2003||Beechcraft 200 Super King Air|Coffs Harbour, New South Wales|0|VH-AMR|+
|May 4, 2003|Roger L. Maino|Cessna 411|Corona, California|1|N1133S|+
|Apr 30, 2003||Basler BT-67|Ocaña, Norte de Santander|0|PNC-212|+
|Apr 29, 2003||Beechcraft 1900C|Kinshasa-N'Djili, Kinshasa City Province|0|TR-LFQ|+
|Apr 25, 2003||Antonov AN-26|Beni-Mavivi, Nord-Kivu|0|-|+
|Apr 24, 2003||Socata TBM-700|Mobile, Alabama|1|N705QD|+
|Apr 23, 2003||Beechcraft 99 Airliner|Prince Albert, Saskatchewan|0|C-FDYF|+
|Apr 14, 2003||Rockwell Shrike Commander 500|Mount Pleasant, South Carolina|0|N19WL|+
|Apr 11, 2003|Zapolyarye Aviakompania|Antonov AN-12|Sredny Ostrov (Sredny Island), Krasnoyarsk Krai|0|RA-12981|+
|Apr 10, 2003|Trace Aviation|Cessna 414 Chancellor|Canton-Cherokee County, Georgia|1|N822DB|+
|Apr 10, 2003||PZL-Mielec AN-2|Qom, Qom|0|SP-WPZ|+
|Apr 9, 2003|Richard E. Crow|Cessna 207 Skywagon/Stationair|Grants Pass, Oregon|2|N9785M|+
|Apr 9, 2003||Short 330|DuBois-Jefferson County, Pennsylvania|0|N805SW|+
|Apr 8, 2003||Dassault Falcon 20|Saint Louis-Lambert, Missouri|0|N179GA|+
|Apr 8, 2003||Dassault Falcon 20|Toledo-Express, Ohio|3|N183GA|+
|Apr 7, 2003|Ibiza Flights|Cessna 500 Citation|Zurich-Kloten, Zurich|0|EC-HFA|+
|Apr 4, 2003|FS Corsair|Beechcraft 200 Super King Air|Fitchburg, Massachusetts|6|N257CG|+
|Mar 31, 2003||Beechcraft 60 Duke|Bradford, Pennsylvania|0|N215CQ|+
|Mar 29, 2003|Perelle Aviation Services|Cessna 421C Golden Eagle III|Humberside, Lincolnshire|1|G-SAIR|+
|Mar 26, 2003||Boeing 737-400|Oujda-Angad, Oriental|0|CN-RNF|+
|Mar 25, 2003|One Leasing|Cessna 208B Grand Caravan|El Paujil, Caquetá|3|N5512B|+
|Mar 24, 2003||Rockwell Gulfstream 695 Jetprop 980|Ogawa, Kantō|2|JA8604|+
|Mar 23, 2003|Libra Administração e Participações|Mitsubishi MU-300 Diamond|Santos, São Paulo|0|PT-LNN|+
|Mar 22, 2003||Airbus A321|Tainan, Tainan City (臺南市)|0|B-22603|+
|Mar 19, 2003||Beechcraft 90 King Air|Kremmling-McElroy, Colorado|0|N711TZ|+
|Mar 15, 2003|Dancing Wind Aviation|Cessna 501 Citation I|Carey, Idaho|3|N70FJ|+
|Mar 7, 2003|Richard W. Fuller|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Albuquerque-Double Eagle II, New Mexico|3|N522RF|+
|Mar 6, 2003||De Havilland DHC-2 Beaver|Whitsunday Island, Queensland|0|VH-AQV|+
|Mar 2, 2003||Cessna 208B Grand Caravan|Kotzebue-Ralph Wien Memorial, Alaska|0|N205BA|+
|Mar 1, 2003|High Performance Technologies|Socata TBM-700|Leesburg-Executive, Virginia|3|N700PP|+
|Feb 27, 2003||Fokker F27 Friendship|Blenheim, Marlborough District Council|0|ZK-NAN|+
|Feb 20, 2003||Fokker F27 Friendship|Kohat, Khyber Pakhtunkhwa (خیبرپختونخوا)|17|10254|+
|Feb 19, 2003|Islamic Revolutionary Guard Corps|Ilyushin II-76|Kerman, Kermanshah|275|15-2280|+
|Feb 19, 2003||Dornier DO228|Karachi-Muhammad Ali Jinnah-Quaid-e-Azam, Sindh (سنڌ سندھ)|0|AP-BGF|+
|Feb 16, 2003|Great Northern Aircraft|Cessna 421A Golden Eagle I|Somerset, Kentucky|3|N421TJ|+
|Feb 16, 2003|Kansas Air Center|Piper PA-31-350 Navajo Chieftain|Taylor Mill, Kentucky|0|N130CM|+
|Feb 6, 2003|Pablo Valencia Iragorri|Piper PA-60 Aerostar (Ted Smith 600)|Cajamarca, Tolima|5|HK-3645P|+
|Jan 31, 2003|Euro Asia Aviation|Ilyushin II-76|Baucau, All Timor Leste|6|RDPL-34141|+
|Jan 26, 2003|NDB Equipment Finance|Piper PA-61 Aerostar (Ted Smith 601)|Scottsdale, Arizona|2|N3636Q|+
|Jan 26, 2003||Boeing 737-200|Rio Branco-Plácido de Castro, Acre|0|PP-SPJ|+
|Jan 24, 2003|Lee Larson Aircraft Sales|Piper PA-31 Cheyenne|Denver, Colorado|2|N360LL|+
|Jan 24, 2003||Grumman G-159 Gulfstream I|Busia, Eastern|3|5Y-EMJ|+
|Jan 24, 2003||Cessna 208B Grand Caravan|San Angelo-Ducote Airpark, Texas|0|N944FE|+
|Jan 20, 2003|Dairy Air|Cessna 207 Skywagon/Stationair|Put-in-Bay, Ohio|0|N9945M|+
|Jan 19, 2003||Airbus A319|New York-LaGuardia, New York|0|N313NB|+
|Jan 18, 2003||Embraer ERJ-135|Columbus-John Glenn (Port Columbus), Ohio|0|N714BZ|+
|Jan 17, 2003||Fokker 50|Melilla, Melilla|0|PH-FZE|+
|Jan 9, 2003||Fokker F28 Fellowship|Chachapoyas, Amazonas|46|OB-1396|+
|Jan 8, 2003||Avro RJ100|Diyarbakir, Southeastern Anatolia Region (Güneydoğu Anadolu Bölgesi)|75|TC-THG|+
|Jan 8, 2003||Beechcraft 1900D|Charlotte-Douglas, North Carolina|21|N233YV|+
|Dec 31, 2002|Blackbrook Aviation|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Dunkeswell, Devon|0|N961JM|+
|Dec 28, 2002|Grasshopper Aviation|De Havilland DHC-3 Otter|Nikolai, Alaska|0|N3904|+
|Dec 27, 2002|Dauriya|Antonov AN-26|Ust-Kuyga, Republic of Yakutia (Sakha)|0|RA-26053|+
|Dec 26, 2002||Embraer C-95 Bandeirante|Curitiba-Afonso Pena, Paraná|3|2292|+
|Dec 25, 2002||Cessna 208B Grand Caravan|Manteo, North Carolina|1|N1122Y|+
|Dec 24, 2002||Swearingen SA227 Metro III|Aberdeen-Dyce, Aberdeenshire|0|OY-BPH|+
|Dec 23, 2002||Antonov AN-140|Isfahan, Isfahan|44|UR-14003|+
|Dec 19, 2002||Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Bunyola, Balearic Islands|3|N53328|+
|Dec 17, 2002||Cessna 208B Grand Caravan|Rockford-Greater Rockford, Illinois|1|N277PM|+
|Dec 17, 2002||Piper PA-31-310 Navajo|Feilding, Manawatu-Wanganui (Horizons Regional Council)|3|ZK-TZC|+
|Dec 17, 2002|FMU - Flieg mit Uns Luftfahrtunternehmen|Cessna 414 Chancellor|Hahn, Rhineland-Palatinate|2|D-IAFL|+
|Dec 16, 2002|National Aircraft Leasing|BAe 125|Seattle-Boeing Field, Washington|0|N55RF|+
|Dec 13, 2002||Douglas DC-8|Singapore-Changi, All Singapore|0|N1804|+
|Dec 13, 2002||Britten-Norman Islander|Tep Tep, Madang|8|P2-CBB|+
|Dec 9, 2002||Beechcraft 1900C|Eagleton, Arkansas|3|N127YV|+
|Dec 7, 2002||De Havilland DHC-8-400 (Dash-8)|Xi'an, Shaanxi|0|B-3567|+
|Dec 6, 2002||Embraer EMB-110 Bandeirante|Havana-José Martí (Rancho Boyeros), La Habana|0|CU-T1110|+
|Dec 3, 2002|Air Transport - Air Med El Paso|Cessna 421C Golden Eagle III|Tajique, New Mexico|1|N3855C|+
|Dec 1, 2002|American Virginia|Cessna 500 Citation|Marília, São Paulo|0|PT-LIY|+
|Nov 12, 2002||Cessna 550 Citation II|Sandspit, British Columbia|0|C-GYCJ|+
|Nov 9, 2002||Antonov AN-26|Antalya, Mediterranean Region (Akdeniz Bölgesi)|0|RA-26012|+
|Nov 8, 2002|Brown County Financial Services|Cessna 208B Grand Caravan|Parks, Arizona|4|N514DB|+
|Nov 7, 2002||Antonov AN-12|Kome, Logone Oriental|0|4K-AZ21|+
|Nov 6, 2002||Fokker 50|Luxembourg-Findel, All Luxembourg|20|LX-LGB|+
|Nov 6, 2002|Sverdlovsk Air Enterprise|PZL-Mielec AN-2|Sovetskiy, Khantia-Mansia okrug|0|RA-70140|+
|Nov 2, 2002||Fokker F27 Friendship|Sligo, Connacht|0|G-ECAT|+
|Nov 1, 2002|Robin Williams|Rockwell Aero Commander 500|Rayville, Louisiana|3|N1HV|+
|Oct 31, 2002||Douglas DC-9|Monterrey-General Mariano Escobedo, Nuevo León|0|XA-AMF|+
|Oct 31, 2002|Robert D. Calhoon|Piper PA-31 Cheyenne|Hobbs-Lea County, New Mexico|1|N3998Y|+
|Oct 28, 2002||Cessna 207 Skywagon/Stationair|Marshall, Alaska|0|N91090|+
|Oct 25, 2002||Beechcraft 100 King Air|Eveleth, Minnesota|8|N41BE|+
|Oct 23, 2002|Duke Aircraft Corporation|Beechcraft 60 Duke|Jesup-Wayne County, Georgia|2|N73CR|+
|Oct 23, 2002|Mid-Atlantic Freight|Cessna 208B Grand Caravan|Mobile, Alabama|1|N76U|+
|Oct 23, 2002|Tretyakovo Air Transport Company|Ilyushin II-62|Bishkek-Manas, Bishkek City|0|RA-86452|+
|Oct 20, 2002|George W. Willard|Piper PA-61 Aerostar (Ted Smith 601)|Agua Dulce, California|3|N700US|+
|Oct 15, 2002||Avro RJ85|Memphis, Tennessee|0|N528XJ|+
|Oct 7, 2002|Exec-Jet|Cessna 525 CitationJet CJ2|Dexter, Maine|0|N57EJ|+
|Oct 7, 2002|Dwiggins LLC|Learjet 60|Santa Cruz do Sul, Rio Grande do Sul|1|N5027Q|+
|Oct 3, 2002|Poke Aire|Piper PA-60 Aerostar (Ted Smith 600)|Bradford, Pennsylvania|1|N700DJ|+
|Oct 1, 2002||Ilyushin II-38|Dabolim, Goa|11|IN304|+
|Oct 1, 2002||Ilyushin II-38|Dabolim, Goa|5|IN302|+
|Sep 30, 2002|Bodaibo Air Enterprise - Bodaibinskoe Aviapredpriatie|PZL-Mielec AN-2|Bodaibo, Irkutsk oblast|0|RA-62587|+
|Sep 29, 2002|Skylink Charter|Swearingen SA227 Metro III|Hawthorne, California|0|N343AE|+
|Sep 28, 2002|Deraps Aviation|De Havilland DHC-3 Otter|Aguanish River, Quebec|3|C-FLGA|+
|Sep 14, 2002|Pilatus Partners|Pilatus PC-12|Westphalia, Missouri|2|N451ES|+
|Sep 14, 2002||ATR42-300|Paranapanema, São Paulo|2|PT-MTS|+
|Sep 2, 2002||Cessna 650 Citation VI|Xichang, Sichuan|3|B-7023|+
|Aug 30, 2002||Embraer EMB-120 Brasília|Rio Branco-Presidente Médici, Acre|23|PT-WRQ|+
|Aug 30, 2002|Care Flight International|Learjet 25|Lexington-Blue Grass, Kentucky|1|N45CP|+
|Aug 29, 2002||PZL-Mielec AN-28|Ayan, Khabarovsk Krai|16|RA-28932|+
|Aug 28, 2002||Airbus A320|Phoenix-Sky Harbor, Arizona|0|N635AW|+
|Aug 28, 2002||Douglas C-54 Skymaster|Diavik, Northwest Territories|0|C-GQIC|+
|Aug 28, 2002|General Communications Inc.|De Havilland DHC-2 Beaver|Aleknagik, Alaska|1|N4478|+
|Aug 24, 2002|Kakabeka Air Service|De Havilland DHC-2 Beaver|Kasshabog Lake, Ontario|1|C-GUNE|+
|Aug 22, 2002||De Havilland DHC-6 Twin Otter|Pokhara, Gandaki|18|9N-AFR|+
|Aug 20, 2002|Texas Avstar|Rockwell Aero Commander 560|London, Ontario|0|N201KS|+
|Aug 16, 2002|Fematic Engineering|Beechcraft 60 Duke|Jerago con Orago, Lombardy|4|HB-GFA|+
|Aug 16, 2002|Hill Peterson Carper Bee & Deitzler|Piper PA-31-350 Navajo Chieftain|Sanderson, West Virginia|1|N680HP|+
|Aug 13, 2002||Embraer EMB-120 Brasília|Manaus-Eduardo Gomes, Amazonas|0|PT-WGE|+
|Aug 13, 2002|Corporate Flight International|Cessna 550 Citation II|Big Bear Lake, California|0|N50BK|+
|Aug 13, 2002||Cessna 406 Caravan|Muyowosi-Murungu, Kigoma Region|0|5H-TZC|+
|Aug 11, 2002|Thomas F. Reid|Rockwell Grand Commander 690|Bishop, California|4|N690TB|+
|Aug 8, 2002|Eysk Avia|PZL-Mielec AN-2|Sladky Liman, Krasnodar Krai|2|RA-33322|+
|Aug 7, 2002||Lockheed C-130 Hercules|Caguas, All Puerto Rico|10|90-0161|+
|Jul 28, 2002|Maria Cristina Cubo Brandão|Embraer EMB-820 Navajo/Carajá|Fernandópolis, São Paulo|1|PT-ETT|+
|Jul 26, 2002||Boeing 727-200|Tallahassee, Florida|0|N497FE|+
|Jul 24, 2002||Fletcher FU-24|Thames, Waikato Regional Council|1|ZK-EOE|+
|Jul 18, 2002||Consolidated PB4Y-2 Privateer|Estes Park, Colorado|2|N7620C|+
|Jul 18, 2002||Piper PA-60 Aerostar (Ted Smith 600)|Columbus-Municipal (Bakalar), Indiana|1|N158GA|+
|Jul 17, 2002||De Havilland DHC-6 Twin Otter|Surkhet, Bheri|4|9N-AGF|+
|Jul 16, 2002||Britten-Norman Islander|Long Bawan, North Kalimantan|9|PK-TAR|+
|Jul 13, 2002||Antonov AN-24|Yakutsk-Intl (Platon Oyunsky), Republic of Yakutia (Sakha)|0|RA-46670|+
|Jul 12, 2002||De Havilland DHC-2 Beaver|Port Alsworth, Alaska|4|N3129F|+
|Jul 10, 2002||Saab 2000|Werneuchen, Brandenburg|0|HB-IZY|+
|Jul 1, 2002||Tupolev TU-154|Überlingen, Baden-Württemberg|69|RA-85816|+
|Jul 1, 2002||Boeing 757-200|Überlingen, Baden-Württemberg|2|A9C-DHL|+
|Jul 1, 2002|Eureka Operating Company|Beechcraft H18|Tatum, New Mexico|1|N835K|+
|Jun 30, 2002||De Havilland DHC-3 Otter|Lake Cojibo, Quebec|0|C-GUTQ|+
|Jun 26, 2002||Boeing 767-200|Shimoji-shima, Okinawa|0|JA8254|+
|Jun 26, 2002|Eagle Point Inc.|Beechcraft E18|Venice, Florida|0|N1002C|+
|Jun 14, 2002|Calvin M. Miller|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Osteen, Florida|3|N9143B|+
|Jun 14, 2002||Britten-Norman Islander|Anholt, Midtjylland|0|OY-CFV|+
|Jun 14, 2002||Douglas DC-9|Neiva, Huila|0|HK-3859X|+
|Jun 9, 2002|Namur Air Promotion|Pilatus PC-6 (Porter & Turbo Porter)|Namur, Namur|1|OO-NAP|+
|Jun 4, 2002||PZL-Mielec AN-2|Lovozero, Murmansk oblast|0|RA-07748|+
|Jun 1, 2002||Avro 748|George, Western Cape|3|ZS-OJU|+
|May 25, 2002||De Havilland DHC-6 Twin Otter|Nabire, Special Region of Papua|6|PK-YPZ|+
|May 21, 2002|Sky Executive Aviation Services|Let L-410|Calabar, Cross River|5|9Q-CGX|+
|May 20, 2002|Airlease|Cessna 550 Citation II|Oklahoma City-Wiley Post, Oklahoma|0|N13VP|+
|May 13, 2002||Socata TBM-700|Moulins, Allier|0|N700AR|+
|May 8, 2002||Rockwell T-39 Sabreliner|Pensacola, Florida|3|165522|+
|May 8, 2002||Rockwell T-39 Sabreliner|Pensacola, Florida|4|165525|+
|May 7, 2002||Boeing 737-500|Tunis-Carthage, Tunis Governorate (ولاية تونس‎)|14|SU-GBI|+
|May 4, 2002||BAc 111|Kano, Kano|85|5N-ESF|+
|May 2, 2002||Cessna 560 Citation V|Leakey, Texas|0|N397QS|+
|Apr 30, 2002|Martin Junge|Cessna 411|Lee's Summit, Missouri|0|N411CT|+
|Apr 24, 2002||Piper PA-31-310 Navajo|San Miguel de Tucumán-Teniente Benjamin Matienzo, Tucumán|0|LV-MPS|+
|Apr 21, 2002||Antonov AN-72|Wamena, Special Region of Papua|0|ES-NOP|+
|Apr 19, 2002||Antonov AN-32|Popayán-Guillermo León Valencia, Cauca|3|HK-4171X|+
|Apr 18, 2002||PZL-Mielec AN-2|Svalenik, Rousse|0|LZ-1147|+
|Apr 17, 2002|United Airlines of Kenya|Let L-410|Ngerende, Rift Valley|0|5Y-UAS|+
|Apr 15, 2002||Mitsubishi MU-2 Marquise|San Juan-Luis Muñoz Marín (Isla Verde), All Puerto Rico|2|N45BS|+
|Apr 15, 2002||Boeing 767-200|Busan-Gimhae, Busan (부산)|129|B-2552|+
|Apr 13, 2002|Nomad Fleet Vamdrup|GAF Nomad N.24|Weston-on-the-Green, Oxfordshire|0|OY-JRW|+
|Apr 12, 2002||Swearingen SA227 Metro III|Palma de Mallorca, Balearic Islands|2|EC-GKR|+
|Apr 2, 2002||Antonov AN-32|Cafunfo, Lunda Norte|0|ER-AEQ|+
|Mar 28, 2002||Boeing 307 Stratoliner|Seattle-Boeing Field, Washington|0|NC19903|+
|Mar 25, 2002|Corporate Flight Management|Mitsubishi MU-300 Diamond|Anderson-Darlington Field, Indiana|0|N617BG|+
|Mar 24, 2002|Lear 171|Cessna 340|Denver-Centennial, Colorado|4|N341DM|+
|Mar 18, 2002||Boeing 727-100|Belo Horizonte-Tancredo Neves-Confins, Minas Gerais|0|PP-VLV|+
|Mar 17, 2002|Floopie Flight Corporation|Piper PA-31-310 Navajo|Anderson-Darlington Field, Indiana|2|N125TT|+
|Mar 17, 2002||Let L-410|Djibouti City, Djibouti City District|4|J2-KBC|+
|Mar 15, 2002||Pilatus PC-6 (Porter & Turbo Porter)|Marana-Regional, Arizona|1|79-23253|+
|Mar 12, 2002|Idaho Division of Aeronautics|Piper PA-31-310 Navajo|Atlanta, Idaho|3|N2336V|+
|Mar 9, 2002|Bee Bee Aviation|Cessna 340|Cairns, Queensland|0|N79GW|+
|Mar 9, 2002|Svedijos Prekes|PZL-Mielec AN-2|Rocca di Mezzo, Abruzzo|3|LY-AVD|+
|Mar 8, 2002||Airbus A300|New Delhi-Indira Gandhi, National Capital Territory of Delhi|0|VT-EFW|+
|Mar 6, 2002|Henry Guenther|Cessna 425 Conquest|San Jose-Reid-Hillview, California|3|N444JV|+
|Mar 3, 2002|Mapleleaf Acquisitions|Beechcraft 60 Duke|Mexia, Texas|1|N7272D|+
|Feb 28, 2002||Douglas DC-8|Singapore-Changi, All Singapore|0|N1808E|+
|Feb 27, 2002||Antonov AN-26|Heglig, South Kordofan (جنوب كردفان)|0|ST-MGL|+
|Feb 21, 2002||Antonov AN-26|Lakhta AFB, Arkhangelsk oblast|17|07 red|+
|Feb 17, 2002|Madeira Helicopters|Rockwell Shrike Commander 500|Exeter, Rhode Island|1|N999N|+
|Feb 16, 2002|Trans Porter International Airlines|Piper PA-61 Aerostar (Ted Smith 601)|Belle Glade, Florida|0|N715RM|+
|Feb 14, 2002||Beechcraft 300 Super King Air|Piz Sarsura, Graubünden|2|D-ICBC|+
|Feb 14, 2002|BB Five Inc.|Gulfstream GV|West Palm Beach, Florida|0|N777TY|+
|Feb 12, 2002|Aircenter|Rockwell Shrike Commander 500|Copperhill, Tennessee|0|N441WW|+
|Feb 12, 2002|J & D Aviation|BAe 125|Lanseria, Gauteng|0|ZS-JBA|+
|Feb 12, 2002||Tupolev TU-154|Khorramabad, Lorestan|119|EP-MBS|+
|Feb 10, 2002||Mitsubishi MU-300 Diamond|Cleveland-Cuyahoga County, Ohio|0|N541CW|+
|Feb 7, 2002||Antonov AN-12|Agadir, Souss-Massa-Drâa|8|UR-LIP|+
|Feb 4, 2002|Robert D. Calhoon|Piper PA-31 Cheyenne|Hobbs-Lea County, New Mexico|0|N794CA|+
|Feb 2, 2002||Learjet C-21A|Ellsworth AFB, South Dakota|2|84-0097|+
|Jan 30, 2002|Manatt's|Piper PA-42 Cheyenne|Ames, Iowa|0|N66MT|+
|Jan 30, 2002|Chrysalis 1|Cessna 441 Conquest|Winfield, Kansas|2|N441AR|+
|Jan 28, 2002||Boeing 727-100|Mt El Cumbal, Nariño|94|HC-BLF|+
|Jan 25, 2002|Timothy A. Patrick|Piper PA-61 Aerostar (Ted Smith 601)|Chittenden, Vermont|2|N104CS|+
|Jan 23, 2002||Cessna 402|Bronson, Michigan|1|N371JD|+
|Jan 19, 2002||Cessna 207 Skywagon/Stationair|Milford Sound, Southland Regional Council|6|ZK-SEV|+
|Jan 17, 2002|Harold S. Bercu|Cessna 340|Temple-Draughon-Miller Central Texas, Texas|3|N339S|+
|Jan 17, 2002||Fairchild-Hiller FH-227|Mt El Tigre, Nariño|26|HC-AYM|+
|Jan 15, 2002||De Havilland DHC-6 Twin Otter|Chilpancingo-Doctor Alfonso G. Alarcón, Guerrero|4|XC-FIT|+
|Jan 14, 2002||Boeing 737-200|Pekanbaru-Sultan Syarif Kasim II-Simpang Tiga, Riau|0|PK-LID|+
|Jan 14, 2002||Embraer EMB-120 Brasília|Zaldíbar, Basque Country|3|EC-GTJ|+
|Jan 9, 2002||Lockheed C-130 Hercules|Shamsi AFB, Baluchestan (بلوچستان)|7|160021|+
|Jan 5, 2002|Alexander Leasing|Cessna 441 Conquest|Río Grande, All Puerto Rico|5|N441AW|+
|Jan 4, 2002||Canadair CL-604 Challenger|Birmingham, West Midlands|5|N90AG|+
|Jan 1, 2002|Air Taxi (USA)|Piper PA-31-350 Navajo Chieftain|Fort Lauderdale-Hollywood, Florida|1|N3525Y|+
|Dec 23, 2001||Fletcher FU-24|Paiaka, Northland Regional Council|1|ZK-MAT|+
|Dec 20, 2001||Cessna 560 Citation V|Zurich-Kloten, Zurich|2|HB-VLV|+
|Dec 16, 2001|Heliandes|Let L-410|Medellín, Antioquia|16|HK-4175X|+
|Dec 12, 2001|M & M Aero|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Raleigh-Durham, North Carolina|3|N41003|+
|Dec 10, 2001||Beechcraft 200 Super King Air|Mount Gambier, South Australia|1|VH-FMN|+
|Dec 9, 2001|Air Del|Dassault Falcon 10|Lawrence, Kansas|0|N202DN|+
|Dec 2, 2001||Dornier DO328|Bremen-Neuenland, Bremen|0|D-CATS|+
|Dec 1, 2001|Air Carriers - USA|Cessna 208B Grand Caravan|Bessemer-Mitchell Field, Alabama|2|N499BA|+
|Nov 30, 2001||BAe Jetstream 31|Skien, Vestfold og Telemark|0|SE-LGA|+
|Nov 29, 2001||Cessna 208B Grand Caravan|Quepos, Puntarenas (Central and South Pacific)|3|HP-1405APP|+
|Nov 27, 2001||Boeing 747-200|Port Harcourt, Rivers|1|9G-MKI|+
|Nov 25, 2001|Jorge Wady Cecilio|Beechcraft 100 King Air|Buriti Alegre, Goiás|0|PT-DNP|+
|Nov 24, 2001||Avro RJ100|Zurich-Kloten, Zurich|24|HB-IXM|+
|Nov 24, 2001||Beechcraft 200 Super King Air|Moulins, Allier|4|F-GDLE|+
|Nov 23, 2001||PZL-Mielec AN-28|Kärdla, Hiiumaa|2|ES-NOV|+
|Nov 22, 2001||Learjet 25|Pittsburgh-Intl, Pennsylvania|2|N5UJ|+
|Nov 21, 2001|Commander Northwest|Rockwell Shrike Commander 500|Eagleville, California|5|N900RA|+
|Nov 13, 2001|Richard C. Runyon|Cessna 340|Santa Monica, California|2|N2RR|+
|Nov 12, 2001|Cage Acquisitions|Piper PA-31 Cheyenne|Graham, Texas|4|N6134A|+
|Nov 12, 2001||Airbus A300-600|Belle Harbor, New York|265|N14053|+
|Oct 25, 2001||Beechcraft 200 Super King Air|Chesterfield-Spirit of St Louis, Missouri|0|N200RW|+
|Oct 16, 2001||Embraer EMB-120 Brasília|Bethel, Alaska|0|N120AX|+
|Oct 16, 2001||Antonov AN-12|Honiara, All Solomon Islands|0|ER-ADT|+
|Oct 15, 2001|Deh Cho Air|Piper PA-31-350 Navajo Chieftain|Fort Liard, Northwest Territories|3|C-GIPB|+
|Oct 13, 2001|Mach 1 Aircraft|Rockwell Grand Commander 690|Temecula-French Valley, California|0|N690JM|+
|Oct 11, 2001||Swearingen SA226 Metro II|Shamattawa, Manitoba|2|C-GYPA|+
|Oct 9, 2001|J & D Aircraft Sales|Beechcraft 90 King Air|Dallas-Love Field, Texas|0|N690JP|+
|Oct 8, 2001||De Havilland DHC-2 Beaver|Mollet Lake, Quebec|3|C-GPUO|+
|Oct 8, 2001||McDonnell Douglas MD-87|Milan-Linate, Lombardy|114|SE-DMA|+
